,Term,zog,kike,george soros,rothschild,nigger,Average,predict
0,george_soros,0.2366165965795517,0.16336604952812195,1.0,0.13343951106071472,0.079023078083992,0.3224890470504761,1
1,deep_state,0.20163728296756744,0.15094158053398132,0.40005359053611755,0.21750733256340027,0.1684505194425583,0.22771806120872498,1
2,ect_ect,0.10512430220842361,0.01444524060934782,0.17235392332077026,0.1920805126428604,0.03813643008470535,0.10442808177322149,0
3,united_state,0.14119519293308258,0.11153872311115265,0.22536639869213104,0.059033092111349106,0.1468133181333542,0.13678934499621392,0
4,kike_kike,0.015723352632632054,-0.06129129385867976,-0.01433396099610897,-0.0026078145133599843,-0.04812395640449812,-0.022126734628002954,0
5,alex_jones,0.18425869941711426,0.18215101957321167,0.3438776433467865,0.2155064195394516,0.1979563981294632,0.22475003600120544,1
6,soros_soros,-0.04437510724699373,-0.07065143130698742,-0.07977680604924006,-0.04541243544075209,-0.05415253096214854,-0.05887366220122438,0
7,world_order,0.35082775354385376,0.3185647130012512,0.447834312915802,0.3142208456993103,0.30326047539711,0.34694162011146545,1
8,klaus_schwab,0.22747185826301575,0.17180804908275604,0.6063969731330872,0.19824844598770142,0.06209603697061539,0.2532042726874352,1
9,white_hat,0.22484895586967468,0.1168462485074997,0.19162127375602722,0.24822865426540375,0.09928374737501144,0.17616577595472335,1
10,free_speech,0.2593720555305481,0.37465694546699524,0.303872674703598,0.09173733741044998,0.37157201766967773,0.28024220615625384,1
11,central_bank,0.14249084889888763,0.20236000418663025,0.009126726537942886,0.1618220955133438,0.26739993691444397,0.1566399224102497,1
12,new_world,0.14550799131393433,0.12293580919504166,0.20788238942623138,0.17055313289165497,0.06572336703538895,0.14252053797245026,1
13,open_society,0.12270767241716385,0.07755714654922485,0.5844694375991821,0.014255608431994915,0.04843086749315262,0.16948414649814367,1
14,zionist_jew,0.24467119574546814,0.253820538520813,0.10010942816734314,0.19437560439109802,0.29743924736976624,0.2180832028388977,1
15,social_medium,0.17484574019908905,0.2528029680252075,0.22110892832279205,0.048746924847364426,0.15870684385299683,0.17124228104948996,1
16,support_ukraine,0.21292328834533691,0.25598201155662537,0.35082101821899414,0.2117576152086258,0.1980552077293396,0.24590782821178436,1
17,rothschild_family,0.19571861624717712,0.30573827028274536,0.21581809222698212,0.44116324186325073,0.12142197042703629,0.2559720382094383,1
18,bill_gate,0.17715594172477722,0.19384126365184784,0.5173348784446716,0.23529180884361267,0.0995355173945427,0.2446318820118904,1
19,general_flynn,0.11344197392463684,0.05311710387468338,0.14666396379470825,0.04962210729718208,0.03899167478084564,0.08036736473441124,0
20,davos_group,0.11061503738164902,0.019440237432718277,0.31777068972587585,0.2765403389930725,-0.05236614868044853,0.13440003097057343,0
21,economic_forum,0.14456132054328918,0.08086540549993515,0.5178135633468628,0.21925455331802368,-0.007053302600979805,0.1910883080214262,1
22,russia_ukraine,0.36386367678642273,0.2953522205352783,0.22914214432239532,0.18506678938865662,0.2458026260137558,0.26384549140930175,1
23,new_year,0.2544865310192108,0.23262658715248108,0.06037471443414688,0.11015389114618301,0.31773415207862854,0.19507517516613007,1
24,nigger_kike,0.4632857143878937,0.6499778628349304,0.19961242377758026,0.18341855704784393,0.7560831904411316,0.45047554969787595,1
25,elon_musk,0.15162891149520874,0.18169516324996948,0.4709259569644928,0.1523713618516922,0.05688383802771568,0.20270104631781577,1
